"Player","DraftAge","Position","season","mp_per_g","fg_per_g","fga_per_g","fg2_per_g","fg2a_per_g","fg3_per_g","fg3a_per_g","ft_per_g","fta_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","tov_per_g","pf_per_g","pts_per_g","fg_per_min","fga_per_min","fg2_per_min","fg2a_per_min","fg3_per_min","fg3a_per_min","ft_per_min","fta_per_min","trb_per_min","ast_per_min","stl_per_min","blk_per_min","tov_per_min","pf_per_min","pts_per_min","fg_per_poss","fga_per_poss","fg_pct","fg2_per_poss","fg2a_per_poss","fg2_pct","fg3_per_poss","fg3a_per_poss","fg3_pct","ft_per_poss","fta_per_poss","ft_pct","trb_per_poss","ast_per_poss","stl_per_poss","blk_per_poss","tov_per_poss","pf_per_poss","pts_per_poss","off_rtg","def_rtg","mp","per","ts_pct","efg_pct","fg3a_per_fga_pct","fta_per_fga_pct","pprod","orb_pct","drb_pct","trb_pct","ast_pct","stl_pct","blk_pct","tov_pct","usg_pct","ows","dws","ws","ws_per_40","obpm","dbpm","bpm","games","school_link","conf_link","Year"
"Markelle Fultz",18.9,"Guard","2016-17",35.7,8.4,17.6,6.3,12.5,2.1,5,4.4,6.7,5.7,5.9,1.6,1.2,3.2,2.5,23.2,8.46,19.7,6.3,14,2.07,5.7,4.41,7.5,5.76,5.94,1.53,1.17,3.24,2.52,26,12.9,27.1,0.476,9.7,19.3,0.502,3.2,7.8,0.413,6.7,10.4,0.649,8.8,9.1,2.4,1.8,4.9,3.9,35.7,116.3,110.8,892,27.9,0.558,0.535,0.287,0.383,582,4,13.9,8.9,35.5,2.4,3.1,13.4,31.4,3.3,0.5,3.8,0.172,7.7,1.4,9.1,25,"http://www.sports-reference.com/cbb/schools/washington/2017.html","http://www.sports-reference.com/cbb/conferences/pac-12/2017.html",2017
"Lonzo Ball",19.5,"Guard","2016-17",35.1,5.3,9.5,3,4.1,2.2,5.4,1.8,2.7,6,7.6,1.8,0.8,2.5,1.8,14.6,5.4,10.9,3.15,4.7,2.25,6.1,1.89,3.1,6.12,7.83,1.89,0.81,2.52,1.89,16.6,8.1,14.6,0.551,4.7,6.4,0.732,3.4,8.3,0.412,2.8,4.2,0.673,9.2,11.7,2.8,1.2,3.8,2.8,22.4,131.3,100.7,1263,24.7,0.673,0.668,0.566,0.286,609,3.2,14.3,9.3,31.4,2.8,2.1,18.6,18.1,4.8,2,6.8,0.214,8.7,3.5,12.2,36,"http://www.sports-reference.com/cbb/schools/ucla/2017.html","http://www.sports-reference.com/cbb/conferences/pac-12/2017.html",2017
"Dennis Smith",19.5,"Guard","2016-17",34.8,6,13.1,4.3,8.3,1.7,4.8,4.5,6.3,4.6,6.2,1.9,0.4,3.4,2.1,18.1,6.21,15.1,4.41,9.6,1.8,5.5,4.59,7.2,4.68,6.39,1.98,0.45,3.51,2.16,20.8,9.5,21,0.455,6.8,13.3,0.509,2.7,7.6,0.359,7.1,10,0.715,7.3,9.8,3.1,0.7,5.4,3.3,29,112.2,109.1,1114,23.1,0.563,0.52,0.364,0.476,621,2.7,11.5,7.3,34.2,3.1,1.2,17.3,27.2,3.1,0.9,4,0.142,6.3,1,7.3,32,"http://www.sports-reference.com/cbb/schools/north-carolina-state/2017.html","http://www.sports-reference.com/cbb/conferences/acc/2017.html",2017
"Josh Jackson",20.2,"Guard","2016-17",30.8,6.3,12.3,5.3,9.7,1,2.6,2.8,4.9,7.4,3,1.7,1.1,2.8,3,16.3,7.38,15.9,6.21,12.6,1.17,3.3,3.24,6.4,8.64,3.51,1.98,1.26,3.24,3.51,21.2,11.4,22.3,0.513,9.7,17.6,0.549,1.8,4.7,0.378,5.1,9,0.566,13.4,5.4,3.1,1.9,5,5.4,29.7,110.7,96,1077,24.1,0.559,0.552,0.21,0.403,572,8.7,17.4,13.3,18.2,3.1,3.5,15.9,27.2,2.7,2.2,4.9,0.18,5.1,5.7,10.7,35,"http://www.sports-reference.com/cbb/schools/kansas/2017.html","http://www.sports-reference.com/cbb/conferences/big-12/2017.html",2017
"Jayson Tatum",19.2,"Forward","2016-17",33.3,5.7,12.6,4.3,8.6,1.4,4,4.1,4.8,7.3,2.1,1.3,1.1,2.6,3,16.8,6.12,15.1,4.68,10.3,1.53,4.8,4.41,5.8,7.92,2.34,1.44,1.26,2.79,3.24,20.2,9.8,21.6,0.452,7.4,14.7,0.504,2.4,6.9,0.342,7,8.2,0.849,12.6,3.7,2.3,2,4.5,5.1,28.9,111.3,97.8,966,22,0.566,0.507,0.321,0.381,467,4.8,19.7,12.6,12.4,2.3,3.2,15,26.2,2.3,1.8,4.1,0.169,3.5,4.1,7.5,29,"http://www.sports-reference.com/cbb/schools/duke/2017.html","http://www.sports-reference.com/cbb/conferences/acc/2017.html",2017
"Malik Monk",19.3,"Guard","2016-17",32.1,6.6,14.7,3.9,7.8,2.7,6.9,3.9,4.7,2.5,2.3,0.9,0.5,2,1.9,19.8,7.38,18.3,4.32,9.7,3.06,8.6,4.41,5.9,2.79,2.61,1.08,0.54,2.25,2.16,24.8,11.1,24.6,0.45,6.5,13.1,0.497,4.6,11.6,0.397,6.5,7.9,0.822,4.2,3.8,1.6,0.8,3.3,3.2,33.3,118,100.7,1218,21.5,0.586,0.543,0.47,0.323,661,1.1,7.2,4.2,13.3,1.6,1.5,10.4,27.2,3.9,1.9,5.8,0.189,6.7,1.3,8,38,"http://www.sports-reference.com/cbb/schools/kentucky/2017.html","http://www.sports-reference.com/cbb/conferences/sec/2017.html",2017
"Jonathan Isaac",19.6,"Forward","2016-17",26.2,4.1,8,3.1,5.2,1,2.8,2.9,3.7,7.8,1.2,1.2,1.5,1.5,2.2,12,5.58,12.2,4.23,8,1.35,4.2,3.96,5.6,10.8,1.62,1.62,2.07,2.07,2.97,18.3,8.5,16.8,0.508,6.5,11,0.593,2,5.8,0.348,6,7.7,0.78,16.5,2.4,2.4,3.2,3.2,4.6,25.1,122.2,93.6,839,24.6,0.614,0.568,0.348,0.461,364,7.7,25,16.7,7.5,2.4,6.2,13.3,20.3,2.4,1.9,4.3,0.205,4.7,6.2,10.9,32,"http://www.sports-reference.com/cbb/schools/florida-state/2017.html","http://www.sports-reference.com/cbb/conferences/acc/2017.html",2017
"Lauri Markkanen",20,"Forward","2016-17",30.8,5,10.2,3.1,5.8,1.9,4.4,3.7,4.4,7.2,0.9,0.4,0.5,1.1,2,15.6,5.85,13.2,3.69,7.5,2.16,5.7,4.32,5.8,8.37,0.99,0.45,0.63,1.26,2.34,20.2,9.6,19.6,0.492,6,11.1,0.545,3.6,8.5,0.423,7.1,8.6,0.835,13.9,1.7,0.8,1,2.1,3.8,30,134.1,100.4,1140,25,0.635,0.584,0.434,0.436,534,10,17.5,14,5.6,0.8,1.8,8.1,22.4,4.9,1.8,6.7,0.235,7.8,1.5,9.3,37,"http://www.sports-reference.com/cbb/schools/arizona/2017.html","http://www.sports-reference.com/cbb/conferences/pac-12/2017.html",2017
"OG Anunoby",19.8,"Forward","2015-16",13.7,1.9,3.4,1.6,2.6,0.4,0.9,0.6,1.2,2.6,0.5,0.8,0.8,0.8,1.5,4.9,5.13,10,4.05,7.5,0.99,2.5,1.53,3.6,6.93,1.35,2.07,1.98,2.16,4.05,14.2,8.2,14.4,0.569,6.6,10.8,0.609,1.6,3.6,0.448,2.5,5.2,0.476,11.2,2.2,3.4,3.2,3.5,6.5,20.5,116.9,97.6,466,20.1,0.607,0.625,0.25,0.362,162,11.4,11.7,11.6,6.6,3.4,5.6,17.1,17.5,1,0.9,1.9,0.159,4,5.4,9.4,34,"http://www.sports-reference.com/cbb/schools/indiana/2016.html","http://www.sports-reference.com/cbb/conferences/big-ten/2016.html",2016
"OG Anunoby",19.8,"Forward","2016-17",25.1,4.3,7.6,3.4,4.8,0.9,2.8,1.7,3,5.4,1.4,1.3,1.3,1.6,2.1,11.1,6.12,12.1,4.86,7.7,1.26,4.5,2.43,4.8,7.83,2.07,1.89,1.89,2.34,2.97,17.6,9.7,17.5,0.557,7.7,11,0.701,2,6.4,0.311,3.9,6.9,0.563,12.5,3.3,3,3,3.7,4.7,25.3,118.5,99.4,402,23.8,0.611,0.615,0.369,0.393,167,8.5,16.1,12.5,11,3,5.5,15.2,20.8,1.1,0.7,1.7,0.172,5.4,4.7,10.1,16,"http://www.sports-reference.com/cbb/schools/indiana/2017.html","http://www.sports-reference.com/cbb/conferences/big-ten/2017.html",2017
