"link","Player","VORP","G","MP","draftYear","Amateur","DraftAge","Position","season","mp_per_g","fg_per_g","fga_per_g","fg2_per_g","fg2a_per_g","fg3_per_g","fg3a_per_g","ft_per_g","fta_per_g","orb_per_g","drb_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","tov_per_g","pf_per_g","pts_per_g","sos-dum","sos","fg_per_min","fga_per_min","fg2_per_min","fg2a_per_min","fg3_per_min","fg3a_per_min","ft_per_min","fta_per_min","trb_per_min","ast_per_min","stl_per_min","blk_per_min","tov_per_min","pf_per_min","pts_per_min","fg_per_poss","fga_per_poss","fg_pct","fg2_per_poss","fg2a_per_poss","fg2_pct","fg3_per_poss","fg3a_per_poss","fg3_pct","ft_per_poss","fta_per_poss","ft_pct","trb_per_poss","ast_per_poss","stl_per_poss","blk_per_poss","tov_per_poss","pf_per_poss","pts_per_poss","poss-dum","off_rtg","def_rtg","mp","per","ts_pct","efg_pct","fg3a_per_fga_pct","fta_per_fga_pct","pprod","orb_pct","drb_pct","trb_pct","ast_pct","stl_pct","blk_pct","tov_pct","usg_pct","ws-dum","ows","dws","ws","ws_per_40","bpm-dum","obpm","dbpm","bpm","games","school_link","conf_link","Year"
"https://www.basketball-reference.com/players/j/jordami01.html","Michael Jordan",104.4,"1072","41011",1984,"College",21.2876712328767,"Shooting Guard and Small Forward","1981-82",31.7,5.6,10.5,NA,NA,NA,NA,2.3,3.2,NA,NA,4.4,1.8,1.2,0.2,1.7,2.7,13.5,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.534,NA,NA,NA,NA,NA,NA,NA,NA,0.722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1079,NA,0.562,NA,NA,0.302,NA,NA,NA,NA,NA,NA,NA,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,"http://www.sports-reference.com/cbb/schools/north-carolina/1982.html","http://www.sports-reference.com/cbb/conferences/acc/1982.html",1982
"https://www.basketball-reference.com/players/j/jordami01.html","Michael Jordan",104.4,"1072","41011",1984,"College",21.2876712328767,"Shooting Guard and Small Forward","1982-83",14.6,0.535,6.9,0.55,0.9,0.447,3.4,0.737,5.5,NA,NA,2.2,0.8,2.1,3.1,20,31,NA,29.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,NA,NA,2.1,NA,NA,4.6,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1113,NA,0.595,0.567,0.144,0.317,NA,NA,NA,NA,NA,NA,NA,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.9,"http://www.sports-reference.com/cbb/schools/north-carolina/1983.html","http://www.sports-reference.com/cbb/conferences/acc/1983.html",1983
"https://www.basketball-reference.com/players/j/jordami01.html","Michael Jordan",104.4,"1072","41011",1984,"College",21.2876712328767,"Shooting Guard and Small Forward","1983-84",NA,NA,NA,NA,NA,4.7,0.779,2.1,1.6,NA,NA,2.2,2.3,19.6,NA,8.87,NA,7.68,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,5.3,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,915,NA,0.587,NA,NA,0.324,NA,NA,NA,NA,NA,NA,NA,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,"http://www.sports-reference.com/cbb/schools/north-carolina/1984.html","http://www.sports-reference.com/cbb/conferences/acc/1984.html",1984
"https://www.basketball-reference.com/players/m/malonka01.html","Karl Malone",102.5,"1476","54852",1985,"College",21.1452054794521,"Power Forward","1982-83",31.9,7.8,13.3,NA,NA,NA,NA,5.4,8.7,NA,NA,10.3,0.4,1.9,0.7,3.3,3.7,20.9,32,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.582,NA,NA,NA,NA,NA,NA,NA,NA,0.623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,894,NA,0.599,NA,NA,0.654,NA,NA,NA,NA,NA,NA,NA,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,"http://www.sports-reference.com/cbb/schools/louisiana-tech/1983.html","http://www.sports-reference.com/cbb/conferences/southland/1983.html",1983
"https://www.basketball-reference.com/players/m/malonka01.html","Karl Malone",102.5,"1476","54852",1985,"College",21.1452054794521,"Power Forward","1983-84",11.9,0.576,NA,NA,NA,NA,5,0.682,8.8,NA,NA,1.6,0.7,3,3.4,18.8,32,32,28.9,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1011,NA,0.608,NA,NA,0.618,NA,NA,NA,NA,NA,NA,NA,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.6,"http://www.sports-reference.com/cbb/schools/louisiana-tech/1984.html","http://www.sports-reference.com/cbb/conferences/southland/1984.html",1984
"https://www.basketball-reference.com/players/m/malonka01.html","Karl Malone",102.5,"1476","54852",1985,"College",21.1452054794521,"Power Forward","1984-85",NA,NA,NA,NA,NA,5.3,0.571,2.3,1.5,NA,NA,2.6,3.6,16.5,NA,-1.34,NA,-0.68,NA,-1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,9,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,926,NA,0.551,NA,NA,0.426,NA,NA,NA,NA,NA,NA,NA,14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,"http://www.sports-reference.com/cbb/schools/louisiana-tech/1985.html","http://www.sports-reference.com/cbb/conferences/southland/1985.html",1985
"https://www.basketball-reference.com/players/b/barklch01.html","Charles Barkley",93.5,"1073","39330",1984,"College",21.2794520547945,"Small Forward and Power Forward","1981-82",26.6,5.1,8.6,NA,NA,NA,NA,2.4,3.8,NA,NA,9.8,1.1,0.5,1.8,1.6,3.5,12.7,28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.595,NA,NA,NA,NA,NA,NA,NA,NA,0.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,746,NA,0.608,NA,NA,0.442,NA,NA,NA,NA,NA,NA,NA,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,"http://www.sports-reference.com/cbb/schools/auburn/1982.html","http://www.sports-reference.com/cbb/conferences/sec/1982.html",1982
"https://www.basketball-reference.com/players/b/barklch01.html","Charles Barkley",93.5,"1073","39330",1984,"College",21.2794520547945,"Small Forward and Power Forward","1982-83",8.9,0.644,NA,NA,NA,NA,2.9,0.631,9.5,NA,NA,1.1,1.6,2.9,3.6,14.4,28,18,28.4,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,782,NA,0.648,NA,NA,0.52,NA,NA,NA,NA,NA,NA,NA,20.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.9,"http://www.sports-reference.com/cbb/schools/auburn/1983.html","http://www.sports-reference.com/cbb/conferences/sec/1983.html",1983
"https://www.basketball-reference.com/players/b/barklch01.html","Charles Barkley",93.5,"1073","39330",1984,"College",21.2794520547945,"Small Forward and Power Forward","1983-84",NA,NA,NA,NA,NA,5.2,0.683,2.1,1.1,NA,NA,2.3,3.2,15.1,NA,5.08,NA,10.62,NA,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,9.5,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,794,NA,0.655,NA,NA,0.571,NA,NA,NA,NA,NA,NA,NA,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,"http://www.sports-reference.com/cbb/schools/auburn/1984.html","http://www.sports-reference.com/cbb/conferences/sec/1984.html",1984
"https://www.basketball-reference.com/players/d/duncati01.html","Tim Duncan",89.3,"1392","47368",1997,"College",21.1013698630137,"Power Forward and Center","1993-94",30.2,3.6,6.7,3.6,6.6,0,0,2.5,3.3,NA,NA,9.6,0.9,0.4,3.8,1.2,2.5,9.8,32,32,4.8,7.92,4.8,7.92,0,0,3.3,3.96,11.43,1.08,0.45,4.5,1.44,3.3,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.593,0.548,0.005,0.5,NA,NA,NA,NA,NA,NA,NA,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,"http://www.sports-reference.com/cbb/schools/wake-forest/1994.html","http://www.sports-reference.com/cbb/conferences/acc/1994.html",1994
