"PlayerId","Player","DraftAge","Position","season","mp_per_g","fg_per_g","fga_per_g","fg2_per_g","fg2a_per_g","fg3_per_g","fg3a_per_g","ft_per_g","fta_per_g","orb_per_g","drb_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","tov_per_g","pf_per_g","pts_per_g","sos-dum","sos","fg_per_min","fga_per_min","fg2_per_min","fg2a_per_min","fg3_per_min","fg3a_per_min","ft_per_min","fta_per_min","trb_per_min","ast_per_min","stl_per_min","blk_per_min","tov_per_min","pf_per_min","pts_per_min","fg_per_poss","fga_per_poss","fg_pct","fg2_per_poss","fg2a_per_poss","fg2_pct","fg3_per_poss","fg3a_per_poss","fg3_pct","ft_per_poss","fta_per_poss","ft_pct","trb_per_poss","ast_per_poss","stl_per_poss","blk_per_poss","tov_per_poss","pf_per_poss","pts_per_poss","poss-dum","off_rtg","def_rtg","mp","per","ts_pct","efg_pct","fg3a_per_fga_pct","fta_per_fga_pct","pprod","orb_pct","drb_pct","trb_pct","ast_pct","stl_pct","blk_pct","tov_pct","usg_pct","ws-dum","ows","dws","ws","ws_per_40","bpm-dum","obpm","dbpm","bpm","games","school_link","conf_link","Year"
2077,"DeAndre Ayton",19.4,"C","2017-18",32.1,7.9,12.6,7.5,11.3,0.4,1.3,3.9,5.3,2.9,8.4,11.3,1.5,0.5,1.5,1.8,2.3,20.2,NA,6.86,9.9,14.13,9.4,12.69,0.6,1.53,4.9,6.03,12.69,1.71,0.54,1.71,2.07,2.9,25.2,14,22.3,0.63,13.3,19.9,0.665,0.8,2.4,0.333,6.9,9.4,0.729,19.9,2.7,0.9,2.7,3.2,4.1,35.7,NA,132,97.9,577,32.3,0.668,0.648,0.106,0.423,333,11.8,29.1,21.2,10,0.9,5,10.8,26.4,NA,2.8,1.1,3.9,0.267,NA,7.3,3.3,10.6,18,"http://www.sports-reference.com/cbb/schools/arizona/2018.html","http://www.sports-reference.com/cbb/conferences/pac-12/2018.html",2018
2078,"Marvin Bagley III",18.8,"PF/C","2017-18",32,8.8,14.3,8.2,12.4,0.6,1.9,4.2,6.8,4.4,7.4,11.7,1.6,0.9,1.2,2.4,1.8,22.5,NA,6.42,11,16.11,10.2,13.86,0.8,2.16,5.3,7.65,13.14,1.8,1.08,1.35,2.7,2.2,28.2,15,24.3,0.617,13.9,21,0.662,1.1,3.3,0.333,7.2,11.6,0.621,19.9,2.7,1.6,2,4.1,3,38.3,NA,129.3,97.9,544,33.5,0.642,0.64,0.136,0.477,347,15.3,23.1,19.4,8.7,1.6,3.6,12.1,28,NA,2.6,1,3.7,0.269,NA,8.2,2.4,10.6,17,"http://www.sports-reference.com/cbb/schools/duke/2018.html","http://www.sports-reference.com/cbb/conferences/acc/2018.html",2018
2079,"Mohamed Bamba",19.6,"C","2017-18",30.1,4.7,9.1,4.3,7.2,0.4,1.9,1.9,3.1,3.3,7.1,10.4,0.4,0.8,4.4,1.8,3.1,11.8,NA,6.81,6.2,10.89,5.7,8.64,0.6,2.34,2.6,3.78,12.51,0.45,0.99,5.22,2.07,4.2,15.6,9.2,17.8,0.514,8.3,14,0.591,0.9,3.8,0.226,3.8,6.1,0.62,20.4,0.7,1.6,8.5,3.4,6.1,22.9,NA,109.8,82.7,481,25.5,0.554,0.538,0.212,0.342,185,12.4,26.6,19.5,2.5,1.6,15.8,14.2,20.8,NA,0.9,1.6,2.4,0.203,NA,0,10.7,10.7,16,"http://www.sports-reference.com/cbb/schools/texas/2018.html","http://www.sports-reference.com/cbb/conferences/big-12/2018.html",2018
2080,"Michael Porter Jr",19.5,"SF/PF","2017-18",2,1,1,1,1,0,0,0,0,1,1,2,0,0,0,0,0,2,NA,4.91,20,18,20,18,0,0,0,0,36,0,0,0,0,0,40,29.4,29.4,1,29.4,29.4,1,0,0,NA,0,0,NA,58.8,0,0,0,0,0,58.8,NA,210.1,86.3,2,81.1,1,1,0,0,1,63.4,52.9,57.7,0,0,0,0,25.3,NA,0,0,0,0.595,NA,22.5,-14.6,7.9,1,"http://www.sports-reference.com/cbb/schools/missouri/2018.html","http://www.sports-reference.com/cbb/conferences/sec/2018.html",2018
2081,"Collin Sexton",19,"PG","2017-18",29.6,5.8,13,4.4,9.4,1.3,3.6,6.4,8.1,1,2.6,3.6,3.4,1.3,0.1,2.8,2.5,19.3,NA,6.8,7.8,15.84,6,11.52,1.8,4.32,8.7,9.81,4.32,4.23,1.53,0.09,3.33,3.4,26,10.8,24.5,0.442,8.4,17.8,0.47,2.5,6.7,0.368,12.1,15.2,0.798,6.7,6.5,2.4,0.1,5.2,4.7,36.3,NA,114.3,101.3,473,24.2,0.572,0.493,0.274,0.62,303,4,8.9,6.7,25.3,2.4,0.2,14,32.6,NA,1.6,0.7,2.3,0.199,NA,6.2,-0.2,6,16,"http://www.sports-reference.com/cbb/schools/alabama/2018.html","http://www.sports-reference.com/cbb/conferences/sec/2018.html",2018
2082,"Trae Young",19.3,"PG","2017-18",33.4,8.9,19.4,4.6,8.9,4.3,10.4,8.1,9.7,0.4,3.9,4.3,9.9,1.9,0.3,4.8,1.3,30.1,NA,7.75,10.6,20.88,5.5,9.63,5.1,11.25,9.7,10.44,4.59,10.71,2.07,0.36,5.13,1.5,36,13.4,29.3,0.458,7,13.5,0.517,6.4,15.8,0.407,12.2,14.6,0.832,6.4,15,2.9,0.5,7.2,1.9,45.4,NA,124.7,103.1,534,35.4,0.627,0.568,0.539,0.5,521,1.2,11.1,6.5,55,2.9,0.9,16.5,38.6,NA,3.3,0.7,4.1,0.306,NA,14.6,1.6,16.2,16,"http://www.sports-reference.com/cbb/schools/oklahoma/2018.html","http://www.sports-reference.com/cbb/conferences/big-12/2018.html",2018
2083,"Jaren Jackson Jr",18.3,"PF/C","2017-18",23,3.2,6.5,2,3.7,1.2,2.8,3.8,4.7,1.6,4.6,6.2,1.2,0.8,3.2,2.2,3.4,11.5,NA,4.06,5.6,10.17,3.5,5.76,2.1,4.41,6.7,7.38,9.72,1.89,1.35,4.95,3.42,5.9,20,7.9,16,0.496,4.9,9.1,0.543,3,6.9,0.434,9.5,11.7,0.811,15.3,3,2.1,7.8,5.3,8.4,28.3,NA,119.9,81.6,437,26,0.658,0.589,0.431,0.732,202,8.8,19.3,14.8,8.6,2.1,14,19.8,23,NA,1.3,1.5,2.8,0.255,NA,4.8,10.8,15.7,19,"http://www.sports-reference.com/cbb/schools/michigan-state/2018.html","http://www.sports-reference.com/cbb/conferences/big-ten/2018.html",2018
2084,"Miles Bridges",19.8,"SF/PF","2016-17",32,6.3,13,4.3,7.9,2,5.1,2.3,3.3,1.5,6.8,8.3,2.1,0.7,1.5,2.4,1.9,16.9,18,17,7.9,14.67,5.4,8.82,2.5,5.76,2.8,3.69,9.36,2.34,0.72,1.71,2.61,2.3,21.1,11.6,23.9,0.486,7.9,14.4,0.55,3.7,9.4,0.389,4.1,6,0.685,15.2,3.8,1.2,2.8,4.3,3.4,31,NA,108.4,96.8,895,23.1,0.58,0.563,0.396,0.253,417,5.7,23.1,15,14.5,1.2,4.9,13.9,27.3,NA,1.8,1.7,3.6,0.16,NA,4.8,4.9,9.7,28,"http://www.sports-reference.com/cbb/schools/michigan-state/2017.html","http://www.sports-reference.com/cbb/conferences/big-ten/2017.html",2017
2084,"Miles Bridges",19.8,"SF/PF","2017-18",13.4,0.459,4.2,0.551,1.9,0.337,2.4,0.878,1.7,7.4,3.1,0.6,1.1,1.9,1.6,16.7,NA,10.5,NA,4.06,8.3,16.2,5.7,9.27,2.6,6.93,3.2,3.24,8.91,3.78,0.63,1.26,2.25,2.2,22.3,11.7,25.6,0.459,8,14.6,0.551,3.7,11,0.337,4.5,5.2,0.878,14.1,5.9,1.1,2,3.6,3.1,31.7,NA,120.3,90.4,537,23.7,0.565,0.531,0.43,0.202,284,7.2,18.3,13.6,19.2,1.1,3.6,11.4,27.1,NA,1.8,1.4,3.2,0.241,NA,5.9,4.4,10.3,29.8,"http://www.sports-reference.com/cbb/schools/michigan-state/2018.html","http://www.sports-reference.com/cbb/conferences/big-ten/2018.html",2018
2085,"Mikal Bridges",21.3,"SF","2015-16",20.3,2.2,4.1,1.6,2.2,0.6,1.9,1.5,1.9,0.9,2.3,3.2,0.9,1.1,0.7,0.6,2.2,6.4,36,33,4.2,7.29,3.1,3.87,1.1,3.42,2.9,3.33,5.67,1.53,1.89,1.17,1.08,4.4,12.5,6.3,12.1,0.521,4.6,6.4,0.716,1.7,5.6,0.299,4.3,5.5,0.787,9.4,2.6,3.1,1.9,1.8,6.5,18.6,NA,128.7,92.8,813,18.4,0.633,0.591,0.467,0.455,247,5.7,12.5,9.3,7.5,3.1,3.6,10.7,14.5,NA,2,1.9,3.9,0.193,NA,5.2,6.3,11.5,40,"http://www.sports-reference.com/cbb/schools/villanova/2016.html","http://www.sports-reference.com/cbb/conferences/big-east/2016.html",2016
