"Player","DraftAge","Position","season","mp_per_g","fg_per_g","fga_per_g","fg2_per_g","fg2a_per_g","fg3_per_g","fg3a_per_g","ft_per_g","fta_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","tov_per_g","pf_per_g","pts_per_g","fg_per_min","fga_per_min","fg2_per_min","fg2a_per_min","fg3_per_min","fg3a_per_min","ft_per_min","fta_per_min","trb_per_min","ast_per_min","stl_per_min","blk_per_min","tov_per_min","pf_per_min","pts_per_min","fg_per_poss","fga_per_poss","fg_pct","fg2_per_poss","fg2a_per_poss","fg2_pct","fg3_per_poss","fg3a_per_poss","fg3_pct","ft_per_poss","fta_per_poss","ft_pct","trb_per_poss","ast_per_poss","stl_per_poss","blk_per_poss","tov_per_poss","pf_per_poss","pts_per_poss","off_rtg","def_rtg","mp","per","ts_pct","efg_pct","fg3a_per_fga_pct","fta_per_fga_pct","pprod","orb_pct","drb_pct","trb_pct","ast_pct","stl_pct","blk_pct","tov_pct","usg_pct","ows","dws","ws","ws_per_40","obpm","dbpm","bpm","games","school_link","conf_link","player_stats$link[i]","Year","orb_per_g","drb_per_g","fg_per_mp","fga_per_mp","fg3_per_mp","fg3a_per_mp","fg2_per_mp","fg2a_per_mp","ft_per_mp","fta_per_mp","orb_per_mp","drb_per_mp","trb_per_mp","ast_per_mp","stl_per_mp","blk_per_mp","tov_per_mp","pf_per_mp","pts_per_mp","g"
"Jakob Poeltl",20.372602739726,"Center","2014-15",23.3,3.8,5.5,3.8,5.5,0,0,1.6,3.6,6.8,0.7,0.4,1.9,1.6,2.4,9.1,5.85,9.5,5.85,9.4,0,0.1,2.52,6.3,10.44,1.08,0.54,2.88,2.52,3.69,15.7,10.3,15.2,0.681,10.3,15.1,0.684,0,0.1,0,4.4,10,0.444,18.6,1.9,1,5.1,4.4,6.6,25.1,115.2,88,792,24.7,0.63,0.681,0.005,0.66,305,16,20,18.2,6.6,1,8.6,18.2,21.2,2.1,2.1,4.2,0.21,3.5,7.2,10.7,34,"http://www.sports-reference.com/cbb/schools/utah/2015.html","http://www.sports-reference.com/cbb/conferences/pac-12/2015.html","http://www.basketball-reference.com/players/p/poeltja01.html",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jakob Poeltl",20.372602739726,"Center","2015-16",30.4,6.3,9.8,6.3,9.8,0,0,4.6,6.6,9.1,1.9,0.6,1.6,2.1,2.3,17.2,7.47,12.9,7.47,12.9,0,0,5.4,8.7,10.8,2.34,0.72,1.8,2.43,2.7,22.7,12.3,19.1,0.646,12.3,19.1,0.646,0,0,NA,8.9,12.8,0.692,17.7,3.8,1.1,3,4,4.5,33.5,128.8,98.5,1093,31.1,0.666,0.646,0,0.671,597,11.9,22.1,17.4,13.9,1.1,5,13.7,25.7,4.9,1.9,6.8,0.251,6.8,4.4,11.2,36,"http://www.sports-reference.com/cbb/schools/utah/2016.html","http://www.sports-reference.com/cbb/conferences/pac-12/2016.html","http://www.basketball-reference.com/players/p/poeltja01.html",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malachi Richardson",20.4053652968037,"Shooting Guard","2015-16",34.4,4.1,11.1,2,5.1,2.1,6.1,3.1,4.2,4.3,2.1,1.1,0.3,2.1,2.5,13.4,4.32,12.9,2.07,5.9,2.25,7,3.24,4.9,4.5,2.16,1.17,0.27,2.25,2.61,15.6,7.4,19.9,0.37,3.5,9,0.39,3.8,10.8,0.353,5.5,7.6,0.72,7.6,3.7,2,0.5,3.8,4.4,24,102.6,102.3,1272,13.8,0.511,0.466,0.545,0.382,459,1.7,12.1,6.9,12.8,2,0.9,14,23.1,1.5,1.8,3.3,0.104,1.5,1.5,3,37,"http://www.sports-reference.com/cbb/schools/syracuse/2016.html","http://www.sports-reference.com/cbb/conferences/acc/2016.html","http://www.basketball-reference.com/players/r/richama01.html",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deyonta Davis",19.5042237442922,"Center","2015-16",18.6,3.4,5.7,3.4,5.7,0,0,0.7,1.1,5.5,0.7,0.3,1.8,0.9,2.3,7.5,6.57,12.2,6.57,12.2,0,0,1.26,2.3,10.62,1.44,0.54,3.51,1.62,4.41,16.1,10.9,18.3,0.598,10.9,18.3,0.598,0,0,NA,2.1,3.5,0.605,17.6,2.4,0.8,5.9,2.8,7.4,24,121.4,90.9,650,23.9,0.601,0.598,0,0.191,242,13.5,19,16.5,7.5,0.8,10.2,12.1,19.2,1.7,1.6,3.3,0.204,3.2,7.5,10.8,35,"http://www.sports-reference.com/cbb/schools/michigan-state/2016.html","http://www.sports-reference.com/cbb/conferences/big-ten/2016.html","http://www.basketball-reference.com/players/d/davisde01.html",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyler Ulis",20.4053652968037,"Point Guard","2014-15",23.8,1.8,4.5,0.9,2.4,0.9,2.1,1.1,1.4,1.8,3.6,1,0.1,1,1.5,5.6,2.7,7.5,1.35,4,1.35,3.5,1.71,2.4,2.7,5.49,1.53,0.09,1.53,2.25,9.5,4.8,11.7,0.406,2.4,6.3,0.386,2.3,5.5,0.429,3,3.7,0.808,4.8,9.6,2.6,0.1,2.7,4,14.9,123.3,90.3,882,15.6,0.551,0.506,0.467,0.315,251,2.3,6.3,4.4,27.2,2.6,0.2,16.7,13.5,2.1,2.1,4.2,0.19,5.3,3.7,9,37,"http://www.sports-reference.com/cbb/schools/kentucky/2015.html","http://www.sports-reference.com/cbb/conferences/sec/2015.html","http://www.basketball-reference.com/players/u/ulisty01.html",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyler Ulis",20.4053652968037,"Point Guard","2015-16",36.8,5.5,12.6,3.9,8.1,1.6,4.6,4.8,5.6,3,7,1.5,0.1,2,1.8,17.3,5.4,13.7,3.87,8.8,1.53,5,4.68,6.1,2.97,6.84,1.44,0.09,1.89,1.8,18.8,8.7,20.1,0.434,6.2,12.8,0.486,2.5,7.3,0.344,7.6,8.9,0.856,4.8,11.2,2.3,0.2,3.1,2.9,27.6,128.8,103.4,1288,23.9,0.567,0.497,0.362,0.441,666,1.7,7.1,4.6,34.3,2.3,0.3,11.4,23.2,5.4,1.7,7.1,0.221,8.5,1,9.6,35,"http://www.sports-reference.com/cbb/schools/kentucky/2016.html","http://www.sports-reference.com/cbb/conferences/sec/2016.html","http://www.basketball-reference.com/players/u/ulisty01.html",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isaiah Whitehead",21.2327625570776,"Point Guard","2014-15",27.8,4.1,11.3,2.5,6.5,1.6,4.7,2.1,2.9,3.9,3.5,1.4,0.6,3.3,2.4,12,5.31,16.2,3.24,9.4,2.16,6.8,2.79,4.1,5.04,4.59,1.8,0.81,4.32,3.15,17.3,9,24.6,0.367,5.4,14.3,0.382,3.6,10.3,0.346,4.7,6.2,0.746,8.4,7.7,3,1.4,7.2,5.2,26.2,93.2,101.3,612,15.7,0.477,0.44,0.419,0.254,272,4,11.8,7.8,29,3,2.4,20.8,29.3,0.3,0.8,1.1,0.073,1.8,2.4,4.2,22,"http://www.sports-reference.com/cbb/schools/seton-hall/2015.html","http://www.sports-reference.com/cbb/conferences/big-east/2015.html","http://www.basketball-reference.com/players/w/whiteis01.html",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isaiah Whitehead",21.2327625570776,"Point Guard","2015-16",32.3,5.7,15.1,3.3,8.5,2.4,6.5,4.4,5.8,3.6,5.1,1.2,1.4,3.5,2.3,18.2,6.39,18.7,3.69,10.6,2.7,8.1,4.86,7.1,3.96,5.67,1.35,1.62,3.87,2.52,22.5,10,26.4,0.379,5.8,14.9,0.39,4.2,11.4,0.365,7.7,10.1,0.76,6.3,8.9,2.1,2.5,6.1,4,31.8,104.4,97.4,1098,20.5,0.511,0.458,0.434,0.383,624,1.8,9.7,5.9,33,2.1,4.5,16.4,31.6,2.1,2.1,4.2,0.152,4.3,3.4,7.7,34,"http://www.sports-reference.com/cbb/schools/seton-hall/2016.html","http://www.sports-reference.com/cbb/conferences/big-east/2016.html","http://www.basketball-reference.com/players/w/whiteis01.html",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daniel Hamilton",20.186301369863,"Guard/Forward","2014-15",31.4,4,10.5,2.7,6.6,1.3,3.8,1.6,2.4,7.6,3.7,0.9,0.4,2.3,2.5,10.9,4.59,13.3,3.06,8.4,1.53,4.9,1.8,3.1,8.73,4.23,1.08,0.45,2.61,2.79,13.8,8.2,21.5,0.38,5.5,13.6,0.401,2.7,7.9,0.343,3.3,4.9,0.667,15.7,7.5,1.9,0.8,4.8,5.1,22.3,97.5,92.7,1100,16.9,0.468,0.443,0.366,0.23,411,4.3,24.1,14.7,26.3,1.9,1.3,16.6,24.8,1,2.4,3.4,0.124,1.3,3.3,4.6,35,"http://www.sports-reference.com/cbb/schools/connecticut/2015.html","http://www.sports-reference.com/cbb/conferences/aac/2015.html","http://www.basketball-reference.com/players/h/hamilda02.html",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daniel Hamilton",20.186301369863,"Guard/Forward","2015-16",31.9,4.4,11.4,3.1,7.5,1.3,3.9,2.4,2.8,8.9,4.7,1.1,0.4,2.4,1.8,12.5,4.95,14.3,3.51,9.4,1.44,5,2.7,3.5,10.08,5.31,1.17,0.45,2.7,2.07,15.7,8.4,21.6,0.387,5.9,14.2,0.416,2.5,7.5,0.331,4.5,5.3,0.86,16.9,8.9,2,0.8,4.5,3.5,23.7,103.9,89.7,1147,20,0.492,0.444,0.345,0.243,501,3.6,27,16.1,29.2,2,1.5,15.6,25.1,1.7,3,4.7,0.165,2.5,5.7,8.1,36,"http://www.sports-reference.com/cbb/schools/connecticut/2016.html","http://www.sports-reference.com/cbb/conferences/aac/2016.html","http://www.basketball-reference.com/players/h/hamilda02.html",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
