"Player","DraftAge","Position","season","mp_per_g","fg_per_g","fga_per_g","fg3_per_g","fg3a_per_g","fg2_per_g","fg2a_per_g","efg_pct","ft_per_g","fta_per_g","orb_per_g","drb_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","tov_per_g","pf_per_g","pts_per_g","mp","fg_per_mp","fga_per_mp","fg3_per_mp","fg3a_per_mp","fg2_per_mp","fg2a_per_mp","ft_per_mp","fta_per_mp","orb_per_mp","drb_per_mp","trb_per_mp","ast_per_mp","stl_per_mp","blk_per_mp","tov_per_mp","pf_per_mp","pts_per_mp","games","player_stats$link[i]","Year"
"Dragan Bender",18.4631278538813,"Power Forward","2015-16",8.6,0.6,2.6,0.2,1.2,0.4,1.4,0.269,0.1,0.2,0.3,0.9,1.2,0.4,0.2,0.5,0.4,1.1,1.5,86,2.5,10.9,0.8,5,1.7,5.9,0.4,0.8,1.3,3.8,5,1.7,0.8,2.1,1.7,4.6,6.3,10,"http://www.basketball-reference.com/players/b/bendedr01.html",2016
"Georgios Papagiannis",18.0876712328767,"Center","2011-12",3.7,0.3,0.8,0,0,0.3,0.8,0.4,0.2,0.2,0.3,0.8,1.2,0,0,0,0.5,0.3,0.8,22,3.3,8.2,0,0,3.3,8.2,1.6,1.6,3.3,8.2,11.5,0,0,0,4.9,3.3,8.2,6,"http://www.basketball-reference.com/players/p/papagge01.html",2012
"Georgios Papagiannis",18.0876712328767,"Center","2012-13",5,0,0,0,0,0,0,NA,0,0,0,0.5,0.5,0,0,0,0,0.5,0,10,0,0,0,0,0,0,0,0,0,3.6,3.6,0,0,0,0,3.6,0,2,"http://www.basketball-reference.com/players/p/papagge01.html",2013
"Georgios Papagiannis",18.0876712328767,"Center","2014-15",10.7,1.7,4,0,0,1.7,4,0.429,0,0,1.9,2.6,4.4,0,0.4,1,0.7,0.3,3.4,75,5.8,13.4,0,0,5.8,13.4,0,0,6.2,8.6,14.9,0,1.4,3.4,2.4,1,11.5,7,"http://www.basketball-reference.com/players/p/papagge01.html",2015
"Georgios Papagiannis",18.0876712328767,"Center","2015-16",9,2.1,3.3,0,0,2.1,3.3,0.63,0.6,0.9,0.8,1.3,2.2,0.4,0.2,0.6,0.5,1.1,4.8,270,8.4,13.3,0,0,8.4,13.3,2.3,3.5,3.3,5.3,8.7,1.5,0.7,2.4,2.1,4.4,19.1,30,"http://www.basketball-reference.com/players/p/papagge01.html",2016
"Juan Hernangomez",20.3260273972603,"Power Forward","2013-14",4.7,0.3,1,0.3,0.7,0,0.3,0.5,0,0,0.3,0.3,0.7,0,0.3,0.3,0,0,1,14,2.6,7.7,2.6,5.1,0,2.6,0,0,2.6,2.6,5.1,0,2.6,2.6,0,0,7.7,3,"http://www.basketball-reference.com/players/h/hernaju01.html",2014
"Juan Hernangomez",20.3260273972603,"Power Forward","2014-15",10,0.9,2.1,0.2,0.7,0.7,1.4,0.442,0.5,0.7,1,1.2,2.2,0.3,0.3,0.3,0.4,0.9,2.4,280,3.1,7.7,0.6,2.6,2.4,5.1,1.8,2.4,3.5,4.4,7.8,1,0.9,1,1.4,3.1,8.6,28,"http://www.basketball-reference.com/players/h/hernaju01.html",2015
"Juan Hernangomez",20.3260273972603,"Power Forward","2015-16",23.7,3.1,6.9,1,2.8,2.1,4.1,0.528,2.4,3.3,1.7,4,5.7,0.6,0.8,0.3,1.4,1.3,9.7,806,4.8,10.5,1.5,4.2,3.3,6.3,3.6,5,2.6,6.1,8.7,0.8,1.3,0.4,2.1,2,14.7,34,"http://www.basketball-reference.com/players/h/hernaju01.html",2016
"Guerschon Yabusele",20.5453196347032,"Forward","2013-14",4,0.5,1,0.1,0.3,0.4,0.8,0.563,0.4,0.4,0.3,0.4,0.6,0,0,0,0.1,0.6,1.5,32,4.5,9,1.1,2.3,3.4,6.8,3.4,3.4,2.3,3.4,5.6,0,0,0,1.1,5.6,13.5,8,"http://www.basketball-reference.com/players/y/yabusgu01.html",2014
"Guerschon Yabusele",20.5453196347032,"Forward","2015-16",28.7,4.3,7.9,0.8,1.8,3.5,6.1,0.587,2.2,2.9,2.6,4.3,6.8,1.1,1.1,0.4,1.6,2.5,11.5,975,5.4,9.9,1,2.3,4.4,7.7,2.8,3.6,3.2,5.4,8.6,1.3,1.4,0.6,2,3.1,14.4,34,"http://www.basketball-reference.com/players/y/yabusgu01.html",2016
