"Player","VORP","G","MP","draftYear","link","Amateur"
"Ben Simmons",NA,NA,NA,2016,"http://www.basketball-reference.com/players/s/simmobe01.html","College"
"Brandon Ingram",-0.8,38,1038,2016,"http://www.basketball-reference.com/players/i/ingrabr01.html","College"
"Jaylen Brown",-0.3,35,470,2016,"http://www.basketball-reference.com/players/b/brownja02.html","College"
"Dragan Bender",-0.2,29,358,2016,"http://www.basketball-reference.com/players/b/bendedr01.html","Euro"
"Kris Dunn",-0.1,35,598,2016,"http://www.basketball-reference.com/players/d/dunnkr01.html","College"
"Buddy Hield",-0.3,36,708,2016,"http://www.basketball-reference.com/players/h/hieldbu01.html","College"
"Jamal Murray",-0.2,35,715,2016,"http://www.basketball-reference.com/players/m/murraja01.html","College"
"Marquesse Chriss",-0.3,36,624,2016,"http://www.basketball-reference.com/players/c/chrisma01.html","College"
"Jakob Poeltl",0.1,17,199,2016,"http://www.basketball-reference.com/players/p/poeltja01.html","College"
"Thon Maker",-0.1,14,56,2016,"http://www.basketball-reference.com/players/m/makerth01.html",""
"Domantas Sabonis",-0.2,36,762,2016,"http://www.basketball-reference.com/players/s/sabondo01.html","College"
"Taurean Prince",-0.1,20,200,2016,"http://www.basketball-reference.com/players/p/princta02.html","College"
"Georgios Papagiannis",0,2,9,2016,"http://www.basketball-reference.com/players/p/papagge01.html","Euro"
"Denzel Valentine",-0.2,23,252,2016,"http://www.basketball-reference.com/players/v/valende01.html","College"
"Juan Hernangomez",0.1,24,248,2016,"http://www.basketball-reference.com/players/h/hernaju01.html","Euro"
"Guerschon Yabusele",NA,NA,NA,2016,"http://www.basketball-reference.com/players/y/yabusgu01.html","Euro"
"Wade Baldwin",-0.3,23,304,2016,"http://www.basketball-reference.com/players/b/baldwwa01.html","College"
"Henry Ellenson",-0.1,10,37,2016,"http://www.basketball-reference.com/players/e/ellenhe01.html","College"
"Malik Beasley",-0.1,10,55,2016,"http://www.basketball-reference.com/players/b/beaslma01.html","College"
"Caris LeVert",0,13,200,2016,"http://www.basketball-reference.com/players/l/leverca01.html","College"
"DeAndre Bembry",-0.1,12,82,2016,"http://www.basketball-reference.com/players/b/bembrde01.html","College"
"Malachi Richardson",0,5,32,2016,"http://www.basketball-reference.com/players/r/richama01.html","College"
"Ante Zizic",NA,NA,NA,2016,"http://www.basketball-reference.com/players/z/zizican01.html",""
"Timothe Luwawu",-0.2,21,170,2016,"http://www.basketball-reference.com/players/l/luwawti01.html","Euro"
"Brice Johnson",NA,NA,NA,2016,"http://www.basketball-reference.com/players/j/johnsbr02.html","College"
"Furkan Korkmaz",NA,NA,NA,2016,"http://www.basketball-reference.com/players/k/korkmfu01.html","Euro"
"Pascal Siakam",0.2,34,628,2016,"http://www.basketball-reference.com/players/s/siakapa01.html","College"
"Skal Labissiere",-0.1,4,27,2016,"http://www.basketball-reference.com/players/l/labissk01.html","College"
"Dejounte Murray",-0.1,17,94,2016,"http://www.basketball-reference.com/players/m/murrade01.html","College"
"Damian Jones",0,1,9,2016,"http://www.basketball-reference.com/players/j/jonesda03.html","College"
"Deyonta Davis",0,21,165,2016,"http://www.basketball-reference.com/players/d/davisde01.html","College"
"Ivica Zubac",-0.1,7,54,2016,"http://www.basketball-reference.com/players/z/zubaciv01.html",""
"Cheick Diallo",0,6,79,2016,"http://www.basketball-reference.com/players/d/diallch01.html","College"
"Tyler Ulis",-0.1,23,212,2016,"http://www.basketball-reference.com/players/u/ulisty01.html","College"
"Rade Zagorac",NA,NA,NA,2016,"http://www.basketball-reference.com/players/z/zagorra01.html",""
"Malcolm Brogdon",0.1,34,803,2016,"http://www.basketball-reference.com/players/b/brogdma01.html","College"
"Chinanu Onuaku",0,1,8,2016,"http://www.basketball-reference.com/players/o/onuakch01.html","College"
"Patrick McCaw",0,27,319,2016,"http://www.basketball-reference.com/players/m/mccawpa01.html","College"
"David Michineau",NA,NA,NA,2016,"http://www.basketball-reference.com/players/m/michida01.html","Euro"
"Diamond Stone",-0.1,4,16,2016,"http://www.basketball-reference.com/players/s/stonedi01.html","College"
"Stephen Zimmerman",0,8,32,2016,"http://www.basketball-reference.com/players/z/zimmest01.html","College"
"Isaiah Whitehead",-0.5,26,595,2016,"http://www.basketball-reference.com/players/w/whiteis01.html","College"
"Zhou Qi",NA,NA,NA,2016,"http://www.basketball-reference.com/players/q/qizh01.html",""
"Isaia Cordinier",NA,NA,NA,2016,"http://www.basketball-reference.com/players/c/cordiis01.html","Euro"
"Demetrius Jackson",0,4,17,2016,"http://www.basketball-reference.com/players/j/jacksde01.html","College"
"A.J. Hammons",-0.1,17,77,2016,"http://www.basketball-reference.com/players/h/hammoaj01.html","College"
"Jake Layman",-0.1,19,123,2016,"http://www.basketball-reference.com/players/l/laymaja01.html","College"
"Paul Zipser",-0.1,9,49,2016,"http://www.basketball-reference.com/players/z/zipsepa01.html","Euro"
"Michael Gbinije",-0.1,8,29,2016,"http://www.basketball-reference.com/players/g/gbinimi01.html","College"
"Georges Niang",-0.2,15,76,2016,"http://www.basketball-reference.com/players/n/niangge01.html","College"
"Ben Bentil",NA,NA,NA,2016,"http://www.basketball-reference.com/players/b/bentibe01.html","College"
"Joel Bolomboy",0,9,20,2016,"http://www.basketball-reference.com/players/b/bolomjo01.html","College"
"Petr Cornelie",NA,NA,NA,2016,"http://www.basketball-reference.com/players/c/cornepe01.html","Euro"
"Kay Felder",0,17,203,2016,"http://www.basketball-reference.com/players/f/feldeka01.html","College"
"Marcus Paige",NA,NA,NA,2016,"http://www.basketball-reference.com/players/p/paigema01.html","College"
"Daniel Hamilton",NA,NA,NA,2016,"http://www.basketball-reference.com/players/h/hamilda02.html","College"
"Wang Shelin",NA,NA,NA,2016,"http://www.basketball-reference.com/players/s/sheliwa01.html",""
"Abdel Nader",NA,NA,NA,2016,"http://www.basketball-reference.com/players/n/naderab01.html","College"
"Isaiah Cousins",NA,NA,NA,2016,"http://www.basketball-reference.com/players/c/cousiis01.html","College"
"Tyrone Wallace",NA,NA,NA,2016,"http://www.basketball-reference.com/players/w/wallaty01.html","College"
"Karl-Anthony Towns",4.7,117,3864,2015,"http://www.basketball-reference.com/players/t/townska01.html","College"
"D'Angelo Russell",0.4,105,2932,2015,"http://www.basketball-reference.com/players/r/russeda01.html","College"
"Jahlil Okafor",-1,81,2219,2015,"http://www.basketball-reference.com/players/o/okafoja01.html","College"
"Kristaps Porzingis",1.9,104,3159,2015,"http://www.basketball-reference.com/players/p/porzikr01.html","Euro"
"Mario Hezonja",-0.6,104,1626,2015,"http://www.basketball-reference.com/players/h/hezonma01.html","Euro"
"Willie Cauley-Stein",0.8,97,1771,2015,"http://www.basketball-reference.com/players/c/caulewi01.html","College"
"Emmanuel Mudiay",-1.6,102,3058,2015,"http://www.basketball-reference.com/players/m/mudiaem01.html",""
"Stanley Johnson",-0.1,106,2169,2015,"http://www.basketball-reference.com/players/j/johnsst04.html","College"
"Frank Kaminsky",0.4,115,2548,2015,"http://www.basketball-reference.com/players/k/kaminfr01.html","College"
"Justise Winslow",0.6,96,2857,2015,"http://www.basketball-reference.com/players/w/winslju01.html","College"
"Myles Turner",1,95,2409,2015,"http://www.basketball-reference.com/players/t/turnemy01.html","College"
