Team,Name,FGA,TS%,eFG%,% shots at rim,FG% at rim,%assisted at rim,% shots 2pt J,FG% 2pt Jumpers,%assisted 2pt J,%of shots 3pt,3FG%,%assisted 3s,FTA/FGA,FT%,
UC Santa Barbara,Williams Alan,420,0.570,53.3%,31.7%,66.2%,65.9%,68.3%,47.4%,69.1%,0.0%,---,---,51.4%,68.5%,
UC Santa Barbara,Bryson Michael,246,0.606,58.3%,26.8%,66.7%,70.5%,19.5%,35.4%,35.3%,53.7%,41.7%,90.9%,25.2%,75.8%,
UC Santa Barbara,Boswell Kyle,213,0.618,59.4%,10.3%,54.5%,41.7%,9.9%,23.8%,40.0%,79.8%,42.9%,83.6%,38.0%,71.6%,
UC Santa Barbara,Harmon Zalmico,186,0.505,43.3%,29.0%,37.0%,20.0%,38.2%,40.8%,13.8%,32.8%,34.4%,66.7%,52.7%,75.5%,
UC Santa Barbara,Brown Taran,182,0.546,52.2%,22.0%,80.0%,56.2%,11.5%,28.6%,50.0%,66.5%,31.4%,86.8%,18.1%,78.8%,
UC Santa Barbara,Childress Eric,119,0.521,47.1%,52.1%,53.2%,18.2%,23.5%,28.6%,12.5%,24.4%,34.5%,100.0%,61.3%,65.8%,
UC Santa Barbara,Brewe Mitch,78,0.602,55.1%,51.3%,52.5%,47.6%,24.4%,36.8%,100.0%,24.4%,52.6%,100.0%,35.9%,85.7%,
UC Santa Barbara,Beeler Sam,54,0.540,50.0%,64.8%,60.0%,71.4%,35.2%,31.6%,83.3%,0.0%,---,---,92.6%,60.0%,
UC Santa Barbara,Moore Shawn,38,0.632,61.8%,65.8%,76.0%,78.9%,21.1%,37.5%,100.0%,13.2%,20.0%,100.0%,13.2%,80.0%,
UC Santa Barbara,Green John,16,0.402,37.5%,12.5%,50.0%,0.0%,68.8%,45.5%,60.0%,18.8%,0.0%,---,18.8%,66.7%,
UC Santa Barbara,Walker Aamahd,15,0.452,43.3%,40.0%,50.0%,33.3%,33.3%,40.0%,100.0%,26.7%,25.0%,100.0%,53.3%,50.0%,
UC Santa Barbara,Ford Hunter,3,0.833,83.3%,0.0%,---,---,33.3%,100.0%,100.0%,66.7%,50.0%,100.0%,0.0%,---,
