"Player","VORP","G","MP","draftYear","link"
"Ben Simmons",NA,NA,NA,2016,"http://www.basketball-reference.com/players/s/simmobe01.html"
"Brandon Ingram",-0.8,38,1038,2016,"http://www.basketball-reference.com/players/i/ingrabr01.html"
"Jaylen Brown",-0.3,35,470,2016,"http://www.basketball-reference.com/players/b/brownja02.html"
"Dragan Bender",-0.2,29,358,2016,"http://www.basketball-reference.com/players/b/bendedr01.html"
"Kris Dunn",-0.1,35,598,2016,"http://www.basketball-reference.com/players/d/dunnkr01.html"
"Buddy Hield",-0.3,36,708,2016,"http://www.basketball-reference.com/players/h/hieldbu01.html"
"Jamal Murray",-0.2,35,715,2016,"http://www.basketball-reference.com/players/m/murraja01.html"
"Marquesse Chriss",-0.3,36,624,2016,"http://www.basketball-reference.com/players/c/chrisma01.html"
"Jakob Poeltl",0.1,17,199,2016,"http://www.basketball-reference.com/players/p/poeltja01.html"
"Thon Maker",-0.1,14,56,2016,"http://www.basketball-reference.com/players/m/makerth01.html"
"Domantas Sabonis",-0.2,36,762,2016,"http://www.basketball-reference.com/players/s/sabondo01.html"
"Taurean Prince",-0.1,20,200,2016,"http://www.basketball-reference.com/players/p/princta02.html"
"Georgios Papagiannis",0,2,9,2016,"http://www.basketball-reference.com/players/p/papagge01.html"
"Denzel Valentine",-0.2,23,252,2016,"http://www.basketball-reference.com/players/v/valende01.html"
"Juan Hernangomez",0.1,24,248,2016,"http://www.basketball-reference.com/players/h/hernaju01.html"
"Guerschon Yabusele",NA,NA,NA,2016,"http://www.basketball-reference.com/players/y/yabusgu01.html"
"Wade Baldwin",-0.3,23,304,2016,"http://www.basketball-reference.com/players/b/baldwwa01.html"
"Henry Ellenson",-0.1,10,37,2016,"http://www.basketball-reference.com/players/e/ellenhe01.html"
"Malik Beasley",-0.1,10,55,2016,"http://www.basketball-reference.com/players/b/beaslma01.html"
"Caris LeVert",0,13,200,2016,"http://www.basketball-reference.com/players/l/leverca01.html"
"DeAndre Bembry",-0.1,12,82,2016,"http://www.basketball-reference.com/players/b/bembrde01.html"
"Malachi Richardson",0,5,32,2016,"http://www.basketball-reference.com/players/r/richama01.html"
"Ante Zizic",NA,NA,NA,2016,"http://www.basketball-reference.com/players/z/zizican01.html"
"Timothe Luwawu",-0.2,21,170,2016,"http://www.basketball-reference.com/players/l/luwawti01.html"
"Brice Johnson",NA,NA,NA,2016,"http://www.basketball-reference.com/players/j/johnsbr02.html"
"Furkan Korkmaz",NA,NA,NA,2016,"http://www.basketball-reference.com/players/k/korkmfu01.html"
"Pascal Siakam",0.2,34,628,2016,"http://www.basketball-reference.com/players/s/siakapa01.html"
"Skal Labissiere",-0.1,4,27,2016,"http://www.basketball-reference.com/players/l/labissk01.html"
"Dejounte Murray",-0.1,17,94,2016,"http://www.basketball-reference.com/players/m/murrade01.html"
"Damian Jones",0,1,9,2016,"http://www.basketball-reference.com/players/j/jonesda03.html"
"Deyonta Davis",0,21,165,2016,"http://www.basketball-reference.com/players/d/davisde01.html"
"Ivica Zubac",-0.1,7,54,2016,"http://www.basketball-reference.com/players/z/zubaciv01.html"
"Cheick Diallo",0,6,79,2016,"http://www.basketball-reference.com/players/d/diallch01.html"
"Tyler Ulis",-0.1,23,212,2016,"http://www.basketball-reference.com/players/u/ulisty01.html"
"Rade Zagorac",NA,NA,NA,2016,"http://www.basketball-reference.com/players/z/zagorra01.html"
"Malcolm Brogdon",0.1,34,803,2016,"http://www.basketball-reference.com/players/b/brogdma01.html"
"Chinanu Onuaku",0,1,8,2016,"http://www.basketball-reference.com/players/o/onuakch01.html"
"Patrick McCaw",0,27,319,2016,"http://www.basketball-reference.com/players/m/mccawpa01.html"
"David Michineau",NA,NA,NA,2016,"http://www.basketball-reference.com/players/m/michida01.html"
"Diamond Stone",-0.1,4,16,2016,"http://www.basketball-reference.com/players/s/stonedi01.html"
"Stephen Zimmerman",0,8,32,2016,"http://www.basketball-reference.com/players/z/zimmest01.html"
"Isaiah Whitehead",-0.5,26,595,2016,"http://www.basketball-reference.com/players/w/whiteis01.html"
"Zhou Qi",NA,NA,NA,2016,"http://www.basketball-reference.com/players/q/qizh01.html"
"Isaia Cordinier",NA,NA,NA,2016,"http://www.basketball-reference.com/players/c/cordiis01.html"
"Demetrius Jackson",0,4,17,2016,"http://www.basketball-reference.com/players/j/jacksde01.html"
"A.J. Hammons",-0.1,17,77,2016,"http://www.basketball-reference.com/players/h/hammoaj01.html"
"Jake Layman",-0.1,19,123,2016,"http://www.basketball-reference.com/players/l/laymaja01.html"
"Paul Zipser",-0.1,9,49,2016,"http://www.basketball-reference.com/players/z/zipsepa01.html"
"Michael Gbinije",-0.1,8,29,2016,"http://www.basketball-reference.com/players/g/gbinimi01.html"
"Georges Niang",-0.2,15,76,2016,"http://www.basketball-reference.com/players/n/niangge01.html"
"Ben Bentil",NA,NA,NA,2016,"http://www.basketball-reference.com/players/b/bentibe01.html"
"Joel Bolomboy",0,9,20,2016,"http://www.basketball-reference.com/players/b/bolomjo01.html"
"Petr Cornelie",NA,NA,NA,2016,"http://www.basketball-reference.com/players/c/cornepe01.html"
"Kay Felder",0,17,203,2016,"http://www.basketball-reference.com/players/f/feldeka01.html"
"Marcus Paige",NA,NA,NA,2016,"http://www.basketball-reference.com/players/p/paigema01.html"
"Daniel Hamilton",NA,NA,NA,2016,"http://www.basketball-reference.com/players/h/hamilda02.html"
"Wang Shelin",NA,NA,NA,2016,"http://www.basketball-reference.com/players/s/sheliwa01.html"
"Abdel Nader",NA,NA,NA,2016,"http://www.basketball-reference.com/players/n/naderab01.html"
"Isaiah Cousins",NA,NA,NA,2016,"http://www.basketball-reference.com/players/c/cousiis01.html"
"Tyrone Wallace",NA,NA,NA,2016,"http://www.basketball-reference.com/players/w/wallaty01.html"
"Karl-Anthony Towns",4.7,117,3864,2015,"http://www.basketball-reference.com/players/t/townska01.html"
"D'Angelo Russell",0.4,105,2932,2015,"http://www.basketball-reference.com/players/r/russeda01.html"
"Jahlil Okafor",-1,81,2219,2015,"http://www.basketball-reference.com/players/o/okafoja01.html"
"Kristaps Porzingis",1.9,104,3159,2015,"http://www.basketball-reference.com/players/p/porzikr01.html"
"Mario Hezonja",-0.6,104,1626,2015,"http://www.basketball-reference.com/players/h/hezonma01.html"
"Willie Cauley-Stein",0.8,97,1771,2015,"http://www.basketball-reference.com/players/c/caulewi01.html"
"Emmanuel Mudiay",-1.6,102,3058,2015,"http://www.basketball-reference.com/players/m/mudiaem01.html"
"Stanley Johnson",-0.1,106,2169,2015,"http://www.basketball-reference.com/players/j/johnsst04.html"
"Frank Kaminsky",0.4,115,2548,2015,"http://www.basketball-reference.com/players/k/kaminfr01.html"
"Justise Winslow",0.6,96,2857,2015,"http://www.basketball-reference.com/players/w/winslju01.html"
"Myles Turner",1,95,2409,2015,"http://www.basketball-reference.com/players/t/turnemy01.html"
"Trey Lyles",-0.1,116,2127,2015,"http://www.basketball-reference.com/players/l/lylestr01.html"
"Devin Booker",-1,111,3271,2015,"http://www.basketball-reference.com/players/b/bookede01.html"
"Cameron Payne",0.1,57,698,2015,"http://www.basketball-reference.com/players/p/payneca01.html"
"Kelly Oubre",-0.8,95,1273,2015,"http://www.basketball-reference.com/players/o/oubreke01.html"
"Terry Rozier",-0.4,70,872,2015,"http://www.basketball-reference.com/players/r/roziete01.html"
"Rashad Vaughn",-1.1,84,1168,2015,"http://www.basketball-reference.com/players/v/vaughra01.html"
"Sam Dekker",0.4,39,687,2015,"http://www.basketball-reference.com/players/d/dekkesa01.html"
"Jerian Grant",-0.4,104,1658,2015,"http://www.basketball-reference.com/players/g/grantje02.html"
"Delon Wright",0.1,27,229,2015,"http://www.basketball-reference.com/players/w/wrighde01.html"
"Justin Anderson",0.1,88,1218,2015,"http://www.basketball-reference.com/players/a/anderju01.html"
"Bobby Portis",-0.4,85,1364,2015,"http://www.basketball-reference.com/players/p/portibo01.html"
"Rondae Hollis-Jefferson",0.4,59,1286,2015,"http://www.basketball-reference.com/players/h/holliro01.html"
"Tyus Jones",-0.2,58,792,2015,"http://www.basketball-reference.com/players/j/jonesty01.html"
"Jarell Martin",-0.8,64,906,2015,"http://www.basketball-reference.com/players/m/martija01.html"
"Nikola Milutinov",NA,NA,NA,2015,"http://www.basketball-reference.com/players/m/milutni01.html"
"Larry Nance Jr.",0.8,91,1893,2015,"http://www.basketball-reference.com/players/n/nancela02.html"
"R.J. Hunter",-0.1,39,324,2015,"http://www.basketball-reference.com/players/h/hunterj01.html"
"Chris McCullough",0,34,418,2015,"http://www.basketball-reference.com/players/m/mcculch01.html"
"Kevon Looney",0.2,34,272,2015,"http://www.basketball-reference.com/players/l/looneke01.html"
"Cedi Osman",NA,NA,NA,2015,"http://www.basketball-reference.com/players/o/osmande01.html"
"Montrezl Harrell",0.3,66,856,2015,"http://www.basketball-reference.com/players/h/harremo01.html"
"Jordan Mickey",-0.1,25,125,2015,"http://www.basketball-reference.com/players/m/mickejo01.html"
"Anthony Brown",-0.5,38,742,2015,"http://www.basketball-reference.com/players/b/brownan02.html"
"Willy Hernangomez",0,30,399,2015,"http://www.basketball-reference.com/players/h/hernawi01.html"
"Rakeem Christmas",0,4,20,2015,"http://www.basketball-reference.com/players/c/chrisra01.html"
"Richaun Holmes",0.4,72,1039,2015,"http://www.basketball-reference.com/players/h/holmeri01.html"
"Darrun Hilliard",-0.3,59,615,2015,"http://www.basketball-reference.com/players/h/hillida01.html"
"Juan Pablo Vaulet",NA,NA,NA,2015,"http://www.basketball-reference.com/players/v/vauleju01.html"
"Josh Richardson",0.9,79,1952,2015,"http://www.basketball-reference.com/players/r/richajo01.html"
"Pat Connaughton",-0.3,49,232,2015,"http://www.basketball-reference.com/players/c/connapa01.html"
"Olivier Hanlan",NA,NA,NA,2015,"http://www.basketball-reference.com/players/h/hanlaol01.html"
"Joseph Young",-0.4,58,485,2015,"http://www.basketball-reference.com/players/y/youngjo01.html"
"Andrew Harrison",0,37,977,2015,"http://www.basketball-reference.com/players/h/harrian01.html"
"Marcus Thornton",NA,NA,NA,2015,"http://www.basketball-reference.com/players/t/thornma02.html"
"Norman Powell",0.6,79,1160,2015,"http://www.basketball-reference.com/players/p/powelno01.html"
"Arturas Gudaitis",NA,NA,NA,2015,"http://www.basketball-reference.com/players/g/gudaiar01.html"
"Dakari Johnson",NA,NA,NA,2015,"http://www.basketball-reference.com/players/j/johnsda04.html"
"Aaron White",NA,NA,NA,2015,"http://www.basketball-reference.com/players/w/whiteaa01.html"
"Marcus Eriksson",NA,NA,NA,2015,"http://www.basketball-reference.com/players/e/eriksma01.html"
"Tyler Harvey",NA,NA,NA,2015,"http://www.basketball-reference.com/players/h/harvety01.html"
"Satnam Singh",NA,NA,NA,2015,"http://www.basketball-reference.com/players/s/singhsa01.html"
"Sir'Dominic Pointer",NA,NA,NA,2015,"http://www.basketball-reference.com/players/p/pointsi01.html"
"Dani Diez",NA,NA,NA,2015,"http://www.basketball-reference.com/players/d/diezda01.html"
"Cady Lalanne",NA,NA,NA,2015,"http://www.basketball-reference.com/players/l/lalanca01.html"
"Branden Dawson",0,6,29,2015,"http://www.basketball-reference.com/players/d/dawsobr01.html"
"Nikola Radicevic",NA,NA,NA,2015,"http://www.basketball-reference.com/players/r/radicni01.html"
"J.P. Tokoto",NA,NA,NA,2015,"http://www.basketball-reference.com/players/t/tokotjp01.html"
"Dimitrios Agravanis",NA,NA,NA,2015,"http://www.basketball-reference.com/players/a/agravdi01.html"
"Luka Mitrovic",NA,NA,NA,2015,"http://www.basketball-reference.com/players/m/mitrolu01.html"
"Andrew Wiggins",-0.6,198,7100,2014,"http://www.basketball-reference.com/players/w/wiggian01.html"
"Jabari Parker",0.8,135,4295,2014,"http://www.basketball-reference.com/players/p/parkeja01.html"
"Joel Embiid",0.6,23,576,2014,"http://www.basketball-reference.com/players/e/embiijo01.html"
