Team,Name,FGA,TS%,eFG%,% shots at rim,FG% at rim,%assisted at rim,% shots 2pt J,FG% 2pt Jumpers,%assisted 2pt J,%of shots 3pt,3FG%,%assisted 3s,FTA/FGA,FT%,
UC Santa Barbara,Johnson Orlando,459,0.560,52.7%,20.0%,65.2%,30.0%,44.2%,37.9%,18.2%,35.7%,42.7%,52.9%,39.7%,69.8%,
UC Santa Barbara,Nunnally James,383,0.576,54.4%,17.5%,74.6%,56.0%,42.3%,45.1%,45.2%,40.2%,37.0%,80.7%,25.6%,79.6%,
UC Santa Barbara,Sema Jaime,169,0.637,61.5%,50.3%,74.1%,69.8%,49.1%,49.4%,63.4%,0.6%,0.0%,---,52.7%,68.5%,
UC Santa Barbara,Boswell Kyle,158,0.656,63.9%,8.2%,69.2%,55.6%,13.3%,52.4%,72.7%,78.5%,43.5%,100.0%,27.2%,74.4%,
UC Santa Barbara,Williams Alan,155,0.534,51.0%,53.5%,63.9%,52.8%,46.5%,36.1%,57.7%,0.0%,---,---,54.2%,59.5%,
UC Santa Barbara,Taylor T.J.,104,0.444,42.8%,26.0%,51.9%,35.7%,11.5%,16.7%,50.0%,62.5%,29.2%,84.2%,10.6%,72.7%,
UC Santa Barbara,Garth Nate,91,0.424,38.5%,28.6%,30.8%,50.0%,15.4%,42.9%,0.0%,56.0%,27.5%,100.0%,29.7%,66.7%,
UC Santa Barbara,Somogyi Greg,89,0.480,47.2%,44.9%,70.0%,71.4%,55.1%,28.6%,64.3%,0.0%,---,---,25.8%,52.2%,
UC Santa Barbara,Hornbuckle Keegan,81,0.513,50.6%,27.2%,72.7%,43.8%,40.7%,30.3%,60.0%,32.1%,38.5%,100.0%,17.3%,57.1%,
UC Santa Barbara,Peterson Christian,39,0.456,34.6%,35.9%,50.0%,14.3%,61.5%,20.8%,60.0%,2.6%,100.0%,100.0%,61.5%,79.2%,
UC Santa Barbara,Thomas Lewis,27,0.385,35.2%,18.5%,40.0%,50.0%,63.0%,35.3%,83.3%,18.5%,20.0%,100.0%,22.2%,66.7%,
UC Santa Barbara,Green John,4,0.625,62.5%,50.0%,50.0%,100.0%,0.0%,---,---,50.0%,50.0%,100.0%,0.0%,---,
UC Santa Barbara,Total,1759,0.553,52.4%,27.1%,65.3%,52.1%,39.2%,39.3%,44.3%,33.7%,38.3%,79.3%,34.2%,69.4%,
Toledo,Pearson Rian,486,0.517,48.4%,41.8%,63.1%,50.8%,51.9%,37.7%,42.1%,6.4%,25.8%,75.0%,36.0%,68.0%,
Toledo,Brown Julius,380,0.487,44.5%,24.2%,59.8%,27.3%,43.4%,32.7%,13.0%,32.4%,32.5%,62.5%,32.4%,72.4%,
Toledo,Buckley Dominique,264,0.580,53.0%,16.3%,60.5%,23.1%,27.7%,28.8%,9.5%,56.1%,41.9%,83.9%,28.8%,89.5%,
Toledo,Dennis Curtis,261,0.578,54.2%,26.4%,66.7%,56.5%,19.9%,42.3%,40.9%,53.6%,35.0%,91.8%,28.0%,80.8%,
Toledo,Smith Matt,200,0.620,59.0%,44.0%,68.2%,65.0%,34.0%,41.2%,42.9%,22.0%,45.5%,100.0%,44.0%,72.7%,
